INSTANCE        METHOD          OBJECTIVE       RUNTIME         GAP            
A-n80-k10       CW              1860.94         0.00            5.56           
A-n80-k10       LS-CW-BS-Swap   1711.21         0.01            2.94           
F-n72-k4        CW              333.04          0.00            40.52          
F-n72-k4        LS-CW-BS-Swap   326.98          0.01            37.97          
E-n101-k14      CW              1139.07         0.01            6.75           
E-n101-k14      LS-CW-BS-Swap   1056.84         0.04            0.95           
F-n135-k7       CW              1219.32         0.01            4.93
F-n135-k7       LS-CW-BS-Swap   1160.65         0.08            0.12
M-n151-k12      CW              1140.42         0.01            12.36
M-n151-k12      LS-CW-BS-Swap   1098.16         0.08            8.19           
Golden_18       CW              1124.97         0.12            13.05
Golden_18       LS-CW-BS-Swap   1095.33         0.72            10.07          
CMT10           CW              1420.37         0.09            1.76
CMT10           LS-CW-BS-Swap   1337.70         0.18            4.17           
Tai150b         CW              2890.40         0.01            5.99
Tai150b         LS-CW-BS-Swap   2533.19         0.21            7.11           
Tai385          CW              27670.40        0.14            13.56
Tai385          LS-CW-BS-Swap   24713.92        4.92            1.43           
Golden_3        CW              12847.40        0.13            16.82
Golden_3        LS-CW-BS-Swap   12694.46        0.39            15.43          
Li_21           CW              19640.21        0.23            21.14
Li_21           LS-CW-BS-Swap   19530.27        0.52            20.46          
X-n502-k39      CW              71804.05        0.21            3.72
X-n502-k39      LS-CW-BS-Swap   68227.78        19.65           1.44
Loggi-n601-k42  CW              376007.41       0.28            8.35
Loggi-n601-k42  LS-CW-BS-Swap   361495.41       18.29           4.16           
XL-n1701-k562   CW              624201.83       1.53            19.78

