INSTANCE        METHOD          OBJECTIVE       RUNTIME         GAP            
A-n80-k10       MJ              1913.40         0.00            8.53           
CMT10           MJ              1672.63         0.04            19.83          
E-n101-k14      MJ              1327.87         0.01            24.45          
F-n72-k4        MJ              441.74          0.01            86.39          
F-n135-k7       MJ              1404.88         0.03            20.90          
Golden_3        MJ              12991.50        0.62            18.13          
Golden_18       MJ              1103.93         0.12            10.93          
Li_21           MJ              21467.32        1.59            32.41          
Loggi-n601-k42  MJ              35653.48        0.69            2.73           
M-n151-k12      MJ              1272.54         0.02            25.37          
Tai150b         MJ              3199.21         0.02            17.31          
Tai385          MJ              28118.77        0.24            15.40          
X-n502-k39      MJ              72024.40        0.44            4.04           
X-n1701-k562    MJ              613706.44       2.54            17.76          
X-n2541-k121    MJ              158965.38       24.66           8.59
